location,information,sales_price
Mustafakemalpaşa - Tatkavaklı Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,13.000 TL
Nilüfer - Üçevler Mahallesi,Daire | 2+1 | 1. Kat | 98 m²,20.000 TL
Yıldırım - Hacıseyfettin Mahallesi,Daire | 2+1 | Kot 2 (-2). Kat | 85 m²,12.500 TL13.500 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 1. Kat | 60 m²,14.500 TL
Osmangazi - Hamitler Mahallesi,Daire | 3+1 | 6. Kat | 160 m²,30.000 TL
Nilüfer - Beşevler Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,25.000 TL
Gemlik - Cumhuriyet Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,30.000 TL
Nilüfer - 30 Ağustos Zafer Mahallesi,Daire | 5+2 | 4. Kat | 300 m²,33.000 TL
Yıldırım - Namazgah Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,10.000 TL
Mudanya - Halitpaşa Mahallesi,Daire | 2+1 | Bahçe katı | 100 m²,30.000 TL
İnegöl - Akhisar Mahallesi,Daire | 3+1 | 1. Kat | 155 m²,25.000 TL
Nilüfer - Üçevler Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,15.000 TL
İnegöl - Cerrah Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,14.000 TL
İnegöl - Akhisar Mahallesi,Daire | 2+1 | 6. Kat | 140 m²,27.500 TL
İnegöl - Akhisar Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,11.000 TL12.000 TL
Mudanya - Güzelyalı Eğitim Mahallesi,Daire | 1+1 | Bahçe katı | 85 m²,18.500 TL
Gürsu - İpekyolu Mahallesi,Daire | 2+1 | 4. Kat | 75 m²,10.000 TL
Yıldırım - Bağlaraltı Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,15.000 TL
Orhangazi - Camiikebir Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,25.000 TL
Nilüfer - Kızılcıklı Mahallesi,Daire | 1+1 | 4. Kat | 80 m²,16.500 TL
Nilüfer - Kızılcıklı Mahallesi,Daire | 1+1 | 4. Kat | 80 m²,16.500 TL
Nilüfer - Esentepe Mahallesi,Daire | 3+1 | Bahçe katı | 140 m²,35.000 TL
Osmangazi - Demirtaşpaşa Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,14.000 TL15.000 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,11.000 TL
Nilüfer - Balkan Mahallesi,Daire | 3+1 | 1. Kat | 390 m²,26.000 TL
Mudanya - Hasanbey Mahallesi,Daire | 2+1 | 3. Kat | 125 m²,20.000 TL
Yıldırım - Karamazak Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,25.000 TL
Nilüfer - Yüzüncüyıl Mahallesi,Daire | 2+1 | 2. Kat | 135 m²,35.000 TL
Nilüfer - Kızılcıklı Mahallesi,Daire | 2+1 | Bahçe katı | 120 m²,18.000 TL
Yıldırım - Yiğitler Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 105 m²,12.000 TL
Nilüfer - Özlüce Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 130 m²,20.000 TL22.000 TL
Osmangazi - Hamzabey Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,10.000 TL
Osmangazi - Maksem Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,20.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 1. Kat | 65 m²,13.000 TL
Nilüfer - Kızılcıklı Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,25.000 TL
Gemlik - Cumhuriyet Mahallesi,Daire | 3+1 | 5. Kat | 135 m²,18.000 TL
Mustafakemalpaşa - Atatürk Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 145 m²,14.500 TL16.000 TL
Nilüfer - 30 Ağustos Zafer Mahallesi,Daire | 1+1 | 2. Kat | 52 m²,19.500 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 3. Kat | 65 m²,13.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 3. Kat | 65 m²,14.000 TL
Osmangazi - Çırpan Mahallesi,Daire | 3+1 | Çatı Dubleks | 95 m²,21.500 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,12.000 TL
Nilüfer - Balkan Mahallesi,Daire | 2+1 | Çatı Dubleks | 115 m²,27.000 TL
Nilüfer - 30 Ağustos Zafer Mahallesi,Daire | 2+1 | 3. Kat | 83 m²,21.000 TL
Yıldırım - Karaağaç Mahallesi,Daire | 1+1 | Kot 1 (-1). Kat | 60 m²,11.000 TL
Orhangazi - Gölyaka Mahallesi,Daire | 2+1 | Müstakil | 150 m²,24.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,14.500 TL
Orhangazi - Arapzade Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,12.000 TL
Nilüfer - Odunluk Mahallesi,Daire | 2+1 | 6. Kat | 160 m²,52.000 TL
Osmangazi - İstiklal Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,14.000 TL
Nilüfer - Balkan Mahallesi,Daire | 3+1 | 3. Kat | 177 m²,31.000 TL
Nilüfer - 30 Ağustos Zafer Mahallesi,Daire | 2+1 | 2. Kat | 125 m²,25.000 TL
Osmangazi - Altıparmak Mahallesi,Daire | 3+1 | 7. Kat | 120 m²,17.000 TL
Yıldırım - Bağlaraltı Mahallesi,Daire | 2+1 | 3. Kat | 115 m²,14.000 TL
Osmangazi - Pınarbaşı Mahallesi,Daire | 2+1 | 4. Kat | 105 m²,19.000 TL
Osmangazi - Hocaalizade Mahallesi,Daire | 2+1 | 4. Kat | 80 m²,14.000 TL15.000 TL
Mudanya - Esence Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,15.000 TL
Nilüfer - 29 Ekim Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,35.000 TL
Mudanya - Eğerce Mahallesi,Daire | 3+0 | Müstakil | 100 m²,12.000 TL
Osmangazi - Demirtaş Cumhuriyet Mahallesi,Daire | 5+1 | 4. Kat | 250 m²,30.000 TL
Mudanya - Güzelyalı Eğitim Mahallesi,Daire | 4+1 | 5. Kat | 180 m²,40.000 TL
İnegöl - Fatih Mahallesi,Daire | 3+1 | 3. Kat | 153 m²,26.000 TL
İnegöl - Süleymaniye Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,18.000 TL
İnegöl - Akhisar Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,14.000 TL
Yıldırım - Baruthane Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,12.000 TL
Nilüfer - Beşevler Mahallesi,Daire | 3+1 | 5. Kat | 115 m²,24.000 TL
Nilüfer - Balat Mahallesi,Daire | 2+1 | 3. Kat | 150 m²,37.500 TL
İznik - Mustafa Kemal Paşa Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,21.500 TL
İnegöl - Kemalpaşa Mahallesi,Daire | 5+1 | 3. Kat | 190 m²,25.000 TL
Karacabey - Esentepe Mahallesi,Daire | 3+1 | 4. Kat | 170 m²,32.000 TL
Kestel - Esentepe Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,25.000 TL
Nilüfer - Balat Mahallesi,Daire | 1+1 | 1. Kat | 82 m²,24.000 TL
Nilüfer - Konak Mahallesi,Daire | 3+1 | 3. Kat | 180 m²,27.000 TL
Mudanya - Güzelyalı Burgaz Mahallesi,Daire | 3+1 | 3. Kat | 177 m²,50.000 TL53.000 TL
Nilüfer - Balat Mahallesi,Daire | 4+1 | Kot 1 (-1). Kat | 180 m²,36.000 TL
İnegöl - Yenice Mahallesi,Daire | 3+1 | 4. Kat | 170 m²,18.500 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 50 m²,13.000 TL
Osmangazi - Selimiye Mahallesi,Daire | 2+1 | 1. Kat | 140 m²,20.000 TL
Osmangazi - Ahmetpaşa Mahallesi,Daire | 2+1 | 5. Kat | 90 m²,15.000 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,13.000 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,13.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 2. Kat | 60 m²,12.500 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 3. Kat | 60 m²,12.500 TL
Nilüfer - Yolçatı Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,17.500 TL
Nilüfer - 23 Nisan Mahallesi,Daire | 5+1 | 6. Kat | 260 m²,45.000 TL49.900 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 3. Kat | 70 m²,13.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 6. Kat | 75 m²,16.000 TL
Orhangazi - Arapzade Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,12.000 TL
Nilüfer - Kızılcıklı Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,21.750 TL
Osmangazi - Yenikaraman Mahallesi,Daire | 3+1 | Yüksek giriş | 108 m²,25.000 TL
Nilüfer - Balat Mahallesi,Daire | 1+1 | 2. Kat | 83 m²,25.000 TL
Nilüfer - Görükle Mahallesi,Daire | 3+1 | 5. Kat | 130 m²,22.500 TL
Yıldırım - Teferrüç Mahallesi,Daire | 3+1 | Kot 1 (-1). Kat | 198 m²,18.000 TL
Nilüfer - Odunluk Mahallesi,Daire | 2+1 | 1. Kat | 176 m²,47.000 TL
Osmangazi - Selimiye Mahallesi,Daire | 3+1 | 4. Kat | 125 m²,14.000 TL
Gemlik - Osmaniye Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,15.000 TL16.500 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,11.000 TL
Yıldırım - Esenevler Mahallesi,Daire | 2+1 | 3. Kat | 94 m²,27.000 TL
Yıldırım - Fidyekızık Mahallesi,Daire | 1+1 | 1. Kat | 85 m²,18.000 TL
Yıldırım - Esenevler Mahallesi,Daire | 2+1 | 3. Kat | 125 m²,13.000 TL
Gemlik - Osmaniye Mahallesi,Daire | 2+1 | 5. Kat | 125 m²,13.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | 4. Kat | 65 m²,12.000 TL
Mudanya - Güzelyalı Eğitim Mahallesi,Daire | 2+1 | Bahçe katı | 105 m²,18.500 TL
Mudanya - Güzelyalı Burgaz Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,20.000 TL
Osmangazi - Hocahasan Mahallesi,Daire | 2+1 | 4. Kat | 80 m²,15.000 TL
Osmangazi - Atıcılar Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,15.000 TL
Mudanya - Ömerbey Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,17.500 TL
Yıldırım - Millet Mahallesi,Daire | 3+1 | 1. Kat | 142 m²,30.000 TL
Osmangazi - Dikkaldırım Mahallesi,Daire | 4+1 | 2. Kat | 180 m²,25.000 TL
Nilüfer - Hasanağa Mahallesi,Daire | 2+1 | 8. Kat | 165 m²,21.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,25.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,14.000 TL
Yıldırım - Yeşil Mahallesi,Daire | 3+1 | 2. Kat | 110 m²,20.000 TL
Gemlik - Balıkpazarı Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,12.000 TL
Nilüfer - Akçalar Mahallesi,Daire | 2+1 | 4. Kat | 105 m²,15.500 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 5. Kat | 75 m²,17.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 60 m²,11.000 TL
Nilüfer - Odunluk Mahallesi,Daire | 4+1 | 16. Kat | 240 m²,55.000 TL
Nilüfer - Odunluk Mahallesi,Daire | 4+1 | 19. Kat | 240 m²,55.000 TL
Nilüfer - 30 Ağustos Zafer Mahallesi,Daire | 2+1 | 2. Kat | 108 m²,19.750 TL
Nilüfer - Ertuğrul Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,28.000 TL
Nilüfer - İhsaniye Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,27.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 50 m²,8.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 4. Kat | 70 m²,15.000 TL
Nilüfer - Konak Mahallesi,Daire | 6+1 | 7. Kat | 270 m²,36.000 TL
Osmangazi - İbrahimpaşa Mahallesi,Daire | 2+1 | Çatı katı | 65 m²,15.000 TL
Nilüfer - 30 Ağustos Zafer Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,30.000 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,13.000 TL
Yıldırım - Teferrüç Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,14.000 TL
Nilüfer - Akçalar Mahallesi,Daire | 2+1 | 3. Kat | 113 m²,30.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,13.000 TL
Nilüfer - Esentepe Mahallesi,Daire | 3+1 | 1. Kat | 165 m²,24.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | Yüksek giriş | 70 m²,15.000 TL
Osmangazi - Sakarya Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,14.000 TL
Karacabey - Saadet Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,12.500 TL
İznik - Selçuk Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,23.000 TL
Mudanya - Şükrüçavuş Mahallesi,Daire | 5+2 | 5. Kat | 150 m²,31.000 TL
Gemlik - Balıkpazarı Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 75 m²,10.000 TL
Osmangazi - Hamitler Mahallesi,Daire | 4+1 | Bahçe katı | 240 m²,75.000 TL
Nilüfer - Balkan Mahallesi,Daire | 3+1 | 1. Kat | 125 m²,28.000 TL
Osmangazi - Elmasbahçeler Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,19.000 TL21.000 TL
Gemlik - Cumhuriyet Mahallesi,Daire | 3+1 | 8. Kat | 160 m²,18.000 TL
Gemlik - Hisar Mahallesi,Daire | 1+1 | Yüksek giriş | 140 m²,22.000 TL
Gemlik - Kayhan Mahallesi,Daire | 6+1 | 5. Kat | 400 m²,25.000 TL
Osmangazi - Doğanbey Mahallesi,Daire | 2+1 | 12. Kat | 112 m²,25.500 TL
Osmangazi - Kayıhan Mahallesi,Daire | 1+1 | 4. Kat | 65 m²,10.000 TL12.500 TL
Gemlik - Hamidiye Mahallesi,Daire | 3+2 | 4. Kat | 170 m²,23.000 TL
Osmangazi - Kükürtlü Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,25.000 TL
Osmangazi - Sakarya Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,12.000 TL
Osmangazi - Emek Adnan Menderes Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,15.000 TL
Nilüfer - Kızılcıklı Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,25.000 TL
Orhangazi - Camiikebir Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,20.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | Bahçe katı | 78 m²,13.000 TL
Nilüfer - Ataevler Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,27.000 TL
Nilüfer - Balat Mahallesi,Daire | 1+1 | 5. Kat | 60 m²,25.000 TL
Osmangazi - Doğanbey Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,25.000 TL
Nilüfer - Üçevler Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,39.000 TL
Nilüfer - 29 Ekim Mahallesi,Daire | 3+1 | 1. Kat | 172 m²,42.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,12.500 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 3. Kat | 60 m²,17.500 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 2. Kat | 65 m²,11.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 1. Kat | 65 m²,14.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,14.000 TL
Yıldırım - Yeşil Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,15.000 TL
Nilüfer - Kızılcıklı Mahallesi,Daire | 3+1 | 4. Kat | 145 m²,24.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 3. Kat | 55 m²,20.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,12.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,22.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 6. Kat | 75 m²,16.000 TL
Nilüfer - Görükle Mahallesi,Daire | 3+1 | 5. Kat | 158 m²,15.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 3. Kat | 65 m²,11.500 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 5. Kat | 70 m²,14.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,12.000 TL
Nilüfer - Demirci Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 125 m²,15.000 TL18.000 TL
Yıldırım - Bağlaraltı Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 110 m²,8.000 TL10.000 TL
İnegöl - Esentepe Mahallesi,Daire | 3+1 | 5. Kat | 135 m²,12.000 TL
Gemlik - Hisar Mahallesi,Daire | 2+1 | 5. Kat | 95 m²,23.500 TL25.000 TL
Yıldırım - Esenevler Mahallesi,Daire | 3+1 | 3. Kat | 110 m²,30.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 2. Kat | 65 m²,12.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,20.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 2. Kat | 55 m²,11.000 TL
Nilüfer - Ertuğrul Mahallesi,Daire | 1+1 | 6. Kat | 70 m²,30.000 TL
Orhangazi - Camiikebir Mahallesi,Daire | 2+1 | 2. Kat | 130 m²,25.000 TL
İznik - Selçuk Mahallesi,Daire | 2+1 | Çatı katı | 100 m²,24.000 TL
Nilüfer - Alaaddinbey Mahallesi,Daire | 2+1 | 10. Kat | 135 m²,24.000 TL
Osmangazi - Muradiye Mahallesi,Daire | 3+1 | 1. Kat | 190 m²,20.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 60 m²,10.000 TL
Nilüfer - Özlüce Mahallesi,Daire | 2+1 | 1. Kat | 129 m²,28.300 TL
Orhangazi - Camiikebir Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,12.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 5. Kat | 80 m²,17.600 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 1. Kat | 58 m²,13.000 TL
Nilüfer - Kayapa Mahallesi,Daire | 5+1 | 6. Kat | 215 m²,35.000 TL
Mudanya - Hasanbey Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,27.500 TL
Nilüfer - Ataevler Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,25.000 TL
Nilüfer - Üçevler Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,18.000 TL20.000 TL
Nilüfer - Odunluk Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,25.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,20.000 TL
İznik - Yeşil Camii Mahallesi,Daire | 4+1 | Yüksek giriş | 78 m²,12.000 TL27.000 TL
Nilüfer - Balat Mahallesi,Daire | 4+1 | 5. Kat | 323 m²,70.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | 3. Kat | 70 m²,14.000 TL
Yıldırım - Hacivat Mahallesi,Daire | 3+1 | 2. Kat | 115 m²,13.000 TL
Osmangazi - Bağlarbaşı Mahallesi,Daire | 2+1 | Yüksek giriş | 115 m²,13.500 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,21.000 TL
Osmangazi - Panayır Mahallesi,Daire | 1+1 | 12. Kat | 159 m²,27.000 TL
Osmangazi - Panayır Mahallesi,Daire | 1+1 | 13. Kat | 71 m²,27.500 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,13.000 TL
Osmangazi - Emek Adnan Menderes Mahallesi,Daire | 2+1 | 1. Kat | 96 m²,10.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | 5. Kat | 72 m²,17.000 TL
Mustafakemalpaşa - Şerefiye Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,10.000 TL
Osmangazi - Hüdavendigar Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,14.000 TL15.000 TL
Nilüfer - Balat Mahallesi,Daire | 3+1 | 4. Kat | 185 m²,45.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 2. Kat | 117 m²,22.000 TL
Yıldırım - Umurbey Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,11.000 TL
Nilüfer - Üçevler Mahallesi,Daire | 2+1 | 3. Kat | 146 m²,25.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,13.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 1. Kat | 55 m²,12.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,14.000 TL
Yıldırım - Değirmenönü Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,11.000 TL
Osmangazi - Hamitler Mahallesi,Daire | 3+1 | 5. Kat | 130 m²,30.000 TL
Nilüfer - Akçalar Mahallesi,Daire | 3+1 | 5. Kat | 161 m²,26.000 TL
Osmangazi - Nalbantoğlu Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,20.000 TL
Yıldırım - Karaağaç Mahallesi,Daire | 2+1 | Kot 3 (-3). Kat | 80 m²,9.000 TL10.000 TL
Nilüfer - Altınşehir Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,41.000 TL
Nilüfer - Akçalar Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,15.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | Bahçe katı | 55 m²,12.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,15.000 TL
Gemlik - Cumhuriyet Mahallesi,Daire | 3+1 | 5. Kat | 125 m²,17.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,9.000 TL
Osmangazi - Doğanbey Mahallesi,Daire | 3+1 | 14. Kat | 181 m²,27.000 TL30.000 TL
Osmangazi - Demirtaş Cumhuriyet Mahallesi,Daire | 6+1 | Çatı katı | 270 m²,28.000 TL
Osmangazi - Demirtaş Cumhuriyet Mahallesi,Daire | 6+1 | Çatı katı | 270 m²,28.000 TL
Orhangazi - Arapzade Mahallesi,Daire | 2+1 | 2. Kat | 125 m²,22.000 TL
Osmangazi - Bağlarbaşı Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,10.500 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,15.000 TL
Yıldırım - Millet Mahallesi,Daire | 5+2 | 6. Kat | 308 m²,50.000 TL
Osmangazi - Emek Adnan Menderes Mahallesi,Daire | 4+1 | 3. Kat | 180 m²,60.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 4. Kat | 65 m²,14.000 TL
Yıldırım - 152 Evler Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,12.000 TL15.000 TL
Yıldırım - Akçağlayan Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,12.000 TL
Nilüfer - İhsaniye Mahallesi,Daire | 3+1 | 4. Kat | 234 m²,48.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,18.500 TL
Nilüfer - Balat Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,28.500 TL
Gemlik - Hamidiye Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,12.000 TL
Nilüfer - Görükle Mahallesi,Daire | Stüdyo | 2. Kat | 15 m²,7.000 TL
İnegöl - Cerrah Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,15.000 TL
İnegöl - Burhaniye Mahallesi,Daire | 2+1 | 5. Kat | 127 m²,12.000 TL
Yıldırım - Yeşilyayla Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,12.000 TL
Osmangazi - Sakarya Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,15.000 TL
Gürsu - İpekyolu Mahallesi,Daire | 3+1 | Yüksek giriş | 135 m²,15.850 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,14.000 TL
Mudanya - Güzelyalı Burgaz Mahallesi,Daire | 2+1 | 2. Kat | 135 m²,15.500 TL
Yıldırım - Namazgah Mahallesi,Daire | 2+1 | 4. Kat | 135 m²,26.000 TL
Orhangazi - Muradiye Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,25.000 TL
Nilüfer - Barış Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,35.000 TL
Osmangazi - Yunuseli Mahallesi,Daire | 3+1 | 9. Kat | 160 m²,36.000 TL
Nilüfer - 30 Ağustos Zafer Mahallesi,Daire | 2+1 | 3. Kat | 92 m²,19.000 TL21.500 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,14.000 TL
Nilüfer - Konak Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,24.000 TL26.000 TL
Nilüfer - Ahmet Yesevi Mahallesi,Daire | 3+1 | 10. Kat | 180 m²,75.000 TL
Nilüfer - Görükle Mahallesi,Daire | 4+1 | 4. Kat | 250 m²,30.000 TL
Nilüfer - Hasanağa Mahallesi,Daire | 3+1 | 6. Kat | 138 m²,25.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,20.000 TL
Nilüfer - Çamlıca Mahallesi,Daire | 4+1 | 1. Kat | 230 m²,44.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,14.500 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 2. Kat | 35 m²,9.500 TL
Yıldırım - Davutdede Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,13.000 TL
Mudanya - Halitpaşa Mahallesi,Daire | 1+1 | 3. Kat | 85 m²,21.000 TL
Yıldırım - Mimarsinan Mahallesi,Daire | 2+1 | 2. Kat | 112 m²,15.000 TL
Gemlik - Hisar Mahallesi,Daire | 3+1 | Yüksek giriş | 200 m²,35.000 TL
Nilüfer - 30 Ağustos Zafer Mahallesi,Daire | 3+1 | 5. Kat | 140 m²,26.000 TL
Nilüfer - Beşevler Mahallesi,Daire | 3+1 | 3. Kat | 195 m²,34.000 TL
Nilüfer - Kızılcıklı Mahallesi,Daire | 3+1 | 3. Kat | 105 m²,20.000 TL
Yıldırım - Karaağaç Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,15.000 TL17.000 TL
