location,information,sales_price
Orhangazi - Hürriyet Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 115 m²,15.000 TL
Nilüfer - İhsaniye Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,36.000 TL
Nilüfer - Çamlıca Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,36.000 TL
Nilüfer - Beşevler Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,19.000 TL
Yıldırım - Ortabağlar Mahallesi,Daire | 2+1 | 2. Kat | 130 m²,25.000 TL
Mudanya - Güzelyalı Yalı Mahallesi,Daire | 2+1 | 5. Kat | 84 m²,26.000 TL
Gemlik - Ata Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,13.000 TL
Gemlik - Hamidiye Mahallesi,Daire | 3+1 | 4. Kat | 105 m²,14.000 TL
Gemlik - Balıkpazarı Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,15.000 TL
Osmangazi - Alaaddin Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 80 m²,11.000 TL
Nilüfer - Beşevler Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,35.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 3+1 | 4. Kat | 95 m²,15.000 TL
Nilüfer - Beşevler Mahallesi,Daire | 3+1 | 5. Kat | 145 m²,31.000 TL
Nilüfer - Kayapa Mahallesi,Daire | 3+1 | 1. Kat | 187 m²,42.500 TL
Nilüfer - Hasanağa Mahallesi,Daire | 3+1 | 2. Kat | 148 m²,25.000 TL
Gemlik - Cumhuriyet Mahallesi,Daire | 3+1 | 1. Kat | 110 m²,17.000 TL
Gemlik - Osmaniye Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,20.000 TL
Osmangazi - Hürriyet Mahallesi,Daire | 1+1 | Bodrum Kat | 65 m²,16.500 TL
Osmangazi - Dikkaldırım Mahallesi,Daire | 3+1 | 5. Kat | 135 m²,20.000 TL
Osmangazi - Panayır Mahallesi,Daire | 3.5+1 | 11. Kat | 189 m²,41.500 TL
Osmangazi - Panayır Mahallesi,Daire | 2+1 | 10. Kat | 136 m²,40.000 TL
Nilüfer - 30 Ağustos Zafer Mahallesi,Daire | 3+1 | 5. Kat | 160 m²,25.000 TL
Osmangazi - Çekirge Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,18.000 TL
Nilüfer - Yüzüncüyıl Mahallesi,Daire | 3+1 | 3. Kat | 145 m²,39.500 TL
Osmangazi - Yenikaraman Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,15.000 TL
Nilüfer - Kızılcıklı Mahallesi,Daire | 3+1 | 7. Kat | 120 m²,20.000 TL
Osmangazi - Güneştepe Mahallesi,Daire | 2+1 | Bahçe katı | 95 m²,22.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,17.000 TL
Gürsu - İstiklal Mahallesi,Daire | 2+2 | Bahçe katı | 250 m²,27.000 TL
Nilüfer - Alaaddinbey Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,25.000 TL
Mudanya - Halitpaşa Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,20.000 TL
Mudanya - Halitpaşa Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,35.000 TL
Nilüfer - İhsaniye Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,17.000 TL
Nilüfer - İhsaniye Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,15.000 TL
Osmangazi - İstiklal Mahallesi,Daire | 4+1 | 11. Kat | 429 m²,60.000 TL
Osmangazi - İstiklal Mahallesi,Daire | 2+1 | 6. Kat | 218 m²,45.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 3. Kat | 65 m²,14.500 TL
Gemlik - Dr. Ziya Kaya Mahallesi,Daire | 3+1 | 5. Kat | 145 m²,14.000 TL
Kestel - Esentepe Mahallesi,Daire | 3+1 | 10. Kat | 130 m²,22.000 TL
Nilüfer - Cumhuriyet Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,28.000 TL
Nilüfer - Üçevler Mahallesi,Daire | 2+1 | 10. Kat | 107 m²,38.000 TL
Nilüfer - Görükle Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,13.000 TL
Osmangazi - İstiklal Mahallesi,Daire | 2+1 | 11. Kat | 201 m²,35.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 4. Kat | 64 m²,20.000 TL
Nilüfer - Beşevler Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,25.000 TL
Nilüfer - Çalı Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,25.000 TL
Osmangazi - Demirtaş Barbaros Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,23.000 TL
Yıldırım - Hacivat Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 130 m²,11.000 TL
Osmangazi - Hacı İlyas Mahallesi,Daire | 2+1 | 1. Kat | 140 m²,20.000 TL
Osmangazi - İstiklal Mahallesi,Daire | 2+1 | 7. Kat | 221 m²,35.000 TL
Nilüfer - 23 Nisan Mahallesi,Daire | 1+1 | 10. Kat | 75 m²,35.000 TL
