location,information,sales_price
Çorlu - Nusratiye Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,18.000 TL
Çorlu - Zafer Mahallesi,Daire | 1+1 | 11. Kat | 64 m²,17.000 TL
Süleymanpaşa - Ortacami Mahallesi,Daire | 3+1 | 4. Kat | 165 m²,27.000 TL
Çorlu - Zafer Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,22.000 TL
Çorlu - Rumeli Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,15.000 TL
Kapaklı - Atatürk Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,11.000 TL
Çorlu - Önerler Mahallesi,Daire | 3+1 | Bahçe katı | 160 m²,44.000 TL
Çorlu - Hürriyet Mahallesi,Daire | 1+1 | Bahçe katı | 59 m²,13.000 TL
Kapaklı - Cumhuriyet Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,15.000 TL
Çorlu - Hürriyet Mahallesi,Daire | 1+1 | 7. Kat | 75 m²,20.000 TL
Süleymanpaşa - Çiftlikönü Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,18.000 TL
Çorlu - Hürriyet Mahallesi,Daire | 1+1 | 7. Kat | 51 m²,16.000 TL
Çorlu - Hürriyet Mahallesi,Daire | 1+1 | 4. Kat | 51 m²,16.000 TL
Çerkezköy - Fevzi Paşa Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,15.000 TL
Çorlu - Kazımiye Mahallesi,Daire | 2+1 | 1. Kat | 70 m²,16.000 TL17.000 TL
Çorlu - Zafer Mahallesi,Daire | 1+1 | 10. Kat | 75 m²,18.000 TL
Çorlu - Nusratiye Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,16.000 TL17.000 TL
Kapaklı - İnönü Mahallesi,Daire | 1+1 | 4. Kat | 70 m²,14.000 TL
Kapaklı - Atatürk Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,15.000 TL16.000 TL
Çerkezköy - Cumhuriyet Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,14.000 TL
Çorlu - Kemalettin Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,15.000 TL
Çerkezköy - Gazi Mustafa Kemalpaşa Mahallesi,Daire | 2+1 | Kot 3 (-3). Kat | 100 m²,15.000 TL
Çorlu - Muhittin Mahallesi,Daire | 4+1 | 5. Kat | 220 m²,20.000 TL
Süleymanpaşa - Kumbağ Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,20.000 TL
Kapaklı - Cumhuriyet Mahallesi,Daire | 4+2 | 4. Kat | 200 m²,25.000 TL
Kapaklı - Bahçelievler Mahallesi,Daire | 2+1 | Yüksek giriş | 80 m²,14.000 TL
Çerkezköy - İstasyon Mahallesi,Daire | 1+1 | 3. Kat | 75 m²,13.000 TL
Çerkezköy - İstasyon Mahallesi,Daire | 2+1 | Yüksek giriş | 105 m²,18.000 TL
Çerkezköy - Gazi Mustafa Kemalpaşa Mahallesi,Daire | 3+1 | 3. Kat | 138 m²,20.000 TL22.000 TL
Marmaraereğlisi - Mustafa Kemal Paşa Mahallesi,Daire | 1+1 | 2. Kat | 80 m²,15.000 TL
Çerkezköy - Fevzi Paşa Mahallesi,Daire | 2+1 | 2. Kat | 99 m²,14.250 TL
Kapaklı - Atatürk Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,13.000 TL
Kapaklı - Atatürk Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 70 m²,10.000 TL
Çerkezköy - Veliköy Mahallesi,Daire | 2+1 | Bahçe katı | 110 m²,16.500 TL
Kapaklı - Bahçelievler Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,12.000 TL
Süleymanpaşa - Çiftlikönü Mahallesi,Daire | 4+2 | 4. Kat | 210 m²,35.000 TL
Çerkezköy - Gazi Mustafa Kemalpaşa Mahallesi,Daire | 4+2 | Çatı Dubleks | 250 m²,28.000 TL30.000 TL
Muratlı - İstiklal - Kurtpınar Mahallesi,Daire | 4+2 | Çatı katı | 200 m²,17.000 TL
Süleymanpaşa - Atatürk Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,20.000 TL
Süleymanpaşa - Çınarlı Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,23.000 TL
Çorlu - Şeyh Sinan Mahallesi,Daire | 1+1 | 6. Kat | 60 m²,19.000 TL
Çerkezköy - Gazi Mustafa Kemalpaşa Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,13.000 TL
Çerkezköy - Cumhuriyet Mahallesi,Daire | 3+1 | 3. Kat | 145 m²,29.000 TL
Çerkezköy - Cumhuriyet Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,33.000 TL
Kapaklı - Cumhuriyet Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,12.000 TL
Çerkezköy - Veliköy Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,12.000 TL
