location,information,sales_price
Tepebaşı - Sütlüce Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,13.000 TL
Tepebaşı - Mamure Mahallesi,Daire | 3+1 | 6. Kat | 140 m²,18.000 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,15.000 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,17.000 TL18.000 TL
Tepebaşı - Batıkent Mahallesi,Daire | 3+1 | 7. Kat | 140 m²,20.000 TL
Tepebaşı - Bahçelievler Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,25.000 TL
Odunpazarı - Vadişehir Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,13.500 TL
Odunpazarı - Büyükdere Mahallesi,Daire | Stüdyo | 2. Kat | 40 m²,15.000 TL
Odunpazarı - Vişnelik Mahallesi,Daire | 3+1 | 5. Kat | 120 m²,16.000 TL
Tepebaşı - Ömerağa Mahallesi,Daire | 3+1 | 4. Kat | 113 m²,18.500 TL
Odunpazarı - Deliklitaş Mahallesi,Daire | 3+1 | 3. Kat | 230 m²,27.500 TL
Odunpazarı - Vişnelik Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,16.000 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 2+0 | 2. Kat | 60 m²,13.000 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,9.500 TL
Odunpazarı - Gündoğdu Mahallesi,Daire | Stüdyo | 2. Kat | 55 m²,13.000 TL
Odunpazarı - Vişnelik Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,19.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,10.000 TL
Odunpazarı - Gökmeydan Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,12.500 TL
