location,information,sales_price
Vakfıkebir - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,20.000 TL
Yomra - Kaşüstü Mahallesi,Daire | 1+1 | 4. Kat | 75 m²,20.000 TL
Akçaabat - Yaylacık Mahallesi,Daire | 2+1 | 6. Kat | 100 m²,12.000 TL13.000 TL
Ortahisar - 2 Nolu Erdoğdu Mahallesi,Daire | 3+1 | 5. Kat | 120 m²,13.000 TL15.000 TL
Ortahisar - Üniversite Mahallesi,Daire | 3+1 | 2. Kat | 165 m²,18.000 TL
Sürmene - Çarşı Mahallesi,Daire | 2+1 | 11. Kat | 95 m²,15.000 TL
Akçaabat - Mersin Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,35.000 TL
Ortahisar - Çukurçayır Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,18.000 TL
Yomra - Kaşüstü Mahallesi,Daire | 4+1 | 1. Kat | 214 m²,70.000 TL
Ortahisar - Üniversite Mahallesi,Daire | 1+1 | 10. Kat | 70 m²,18.000 TL
Akçaabat - Yıldızlı Mahallesi,Daire | 3+1 | 8. Kat | 140 m²,13.000 TL
Ortahisar - Boztepe Mahallesi,Daire | 3+1 | 5. Kat | 155 m²,20.000 TL
Ortahisar - Yalıncak Mahallesi,Daire | 4+1 | 2. Kat | 215 m²,25.000 TL
Ortahisar - Pelitli Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,17.500 TL
Ortahisar - Konaklar Mahallesi,Daire | 2+0 | 2. Kat | 60 m²,18.000 TL
Ortahisar - Konaklar Mahallesi,Daire | 2+0 | 3. Kat | 60 m²,18.000 TL
Ortahisar - Pelitli Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,12.500 TL
Yomra - Sancak Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 110 m²,16.000 TL
Akçaabat - Söğütlü Mahallesi,Daire | 3+1 | 1. Kat | 175 m²,23.500 TL
Ortahisar - Bahçecik Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,20.000 TL
Ortahisar - Çukurçayır Mahallesi,Daire | 4+1 | Kot 3 (-3). Kat | 160 m²,18.000 TL
Ortahisar - Soğuksu Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,19.500 TL
Ortahisar - Pelitli Mahallesi,Daire | 3+1 | 5. Kat | 140 m²,21.500 TL
Ortahisar - Yalıncak Mahallesi,Daire | 4+1 | 1. Kat | 220 m²,26.000 TL
Ortahisar - Yalıncak Mahallesi,Daire | 3+1 | 8. Kat | 180 m²,23.000 TL
Ortahisar - Yalıncak Mahallesi,Daire | 4+1 | 4. Kat | 220 m²,26.000 TL
Ortahisar - Konaklar Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,15.000 TL
Ortahisar - Toklu Mahallesi,Daire | 3+1 | Yüksek giriş | 125 m²,15.500 TL
Ortahisar - Yalıncak Mahallesi,Daire | 3+1 | Bahçe katı | 155 m²,40.000 TL
Ortahisar - Karşıyaka Mahallesi,Daire | 2+1 | 1. Kat | 135 m²,17.000 TL25.000 TL
Akçaabat - Sarıtaş Mahallesi,Daire | 3+1 | 1. Kat | 155 m²,13.500 TL
Ortahisar - Toklu Mahallesi,Daire | 3+1 | 7. Kat | 170 m²,25.000 TL
Ortahisar - 1 Nolu Erdoğdu Mahallesi,Daire | 2+1 | 3. Kat | 130 m²,15.000 TL
Ortahisar - Yalıncak Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,11.000 TL
Ortahisar - 1 Nolu Erdoğdu Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,8.000 TL
Ortahisar - Hızırbey Mahallesi,Daire | 2+1 | Çatı katı | 100 m²,6.500 TL7.500 TL
Akçaabat - Yaylacık Mahallesi,Daire | 3+1 | Kot 4 (-4). Kat | 130 m²,15.000 TL16.000 TL
Araklı - Merkez Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,10.000 TL
Ortahisar - Yenimahalle Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,15.000 TL
Ortahisar - Konaklar Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 85 m²,8.500 TL
Ortahisar - Yalıncak Mahallesi,Daire | 4+1 | 4. Kat | 209 m²,27.500 TL
Ortahisar - Kemerkaya Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,15.500 TL18.000 TL
Ortahisar - Gülbaharhatun Mahallesi,Daire | 2+1 | 4. Kat | 115 m²,14.000 TL
Ortahisar - Çömlekçi Mahallesi,Daire | 3+1 | 3. Kat | 190 m²,33.000 TL
Akçaabat - Yıldızlı Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,15.000 TL
Ortahisar - Yenicuma Mahallesi,Daire | 2+1 | Kot 2 (-2). Kat | 85 m²,15.000 TL
Ortahisar - İskenderpaşa Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,17.500 TL
Ortahisar - Çukurçayır Mahallesi,Daire | 3+1 | Kot 1 (-1). Kat | 140 m²,14.000 TL
Ortahisar - Toklu Mahallesi,Daire | 3+1 | 3. Kat | 145 m²,20.000 TL
Ortahisar - Yalıncak Mahallesi,Daire | 4+1 | 19. Kat | 293 m²,97.500 TL
Ortahisar - Yalıncak Mahallesi,Daire | 3+1 | 4. Kat | 170 m²,50.000 TL
Yomra - Kaşüstü Mahallesi,Daire | 1+1 | 4. Kat | 85 m²,21.000 TL
Of - İrfanlı Mahallesi,Daire | 3+1 | 8. Kat | 140 m²,20.000 TL
Ortahisar - Yenicuma Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,17.000 TL
Ortahisar - Karşıyaka Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,18.000 TL
Akçaabat - Söğütlü Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,15.500 TL
Of - Sulaklı Mahallesi,Daire | 3+1 | 2. Kat | 115 m²,18.000 TL
Ortahisar - 2 Nolu Beşirli Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,25.000 TL30.000 TL
