location,information,sales_price
Alaşehir - Sakarya Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,10.000 TL
Salihli - Kocaçeşme Mahallesi,Daire | 2+1 | Bahçe katı | 70 m²,7.000 TL
Yunusemre - Karaali Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,13.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,19.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,15.000 TL
Yunusemre - Kaynak Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,18.000 TL
Şehzadeler - Ege Mahallesi,Daire | 1+1 | 6. Kat | 55 m²,20.000 TL
Şehzadeler - Dilşikar Mahallesi,Daire | 3+1 | 2. Kat | 110 m²,18.000 TL
Turgutlu - Kurtuluş Mahallesi,Daire | 1+1 | Yüksek giriş | 70 m²,13.000 TL
Salihli - Kocaçeşme Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,22.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | Yüksek giriş | 67 m²,19.000 TL
Akhisar - Hürriyet Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,14.000 TL
Saruhanlı - Kurtuluş Mahallesi,Daire | 2+1 | Yüksek giriş | 77 m²,13.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 3+1 | 2. Kat | 100 m²,19.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,31.000 TL
Yunusemre - Uncubozköy Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,30.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,14.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,19.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 4. Kat | 70 m²,19.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 3+1 | 5. Kat | 120 m²,15.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | Bahçe katı | 75 m²,30.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,38.000 TL
Turgutlu - Selvilitepe Mahallesi,Daire | 1+1 | 3. Kat | 90 m²,13.000 TL
Alaşehir - Akkeçili Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.000 TL
Alaşehir - İstasyon Mahallesi,Daire | 3+1 | 2. Kat | 170 m²,25.000 TL
Alaşehir - İstasyon Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,17.000 TL
Yunusemre - Kaynak Mahallesi,Daire | 2+1 | 2. Kat | 97 m²,19.500 TL
Turgutlu - Ergenekon Mahallesi,Daire | 4.5+1 | 4. Kat | 250 m²,35.000 TL
Soma - Kurtuluş Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,11.000 TL
Soma - Hamidiye Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,18.000 TL
Akhisar - Ragıp Bey Mahallesi,Daire | 3+1 | 2. Kat | 155 m²,21.500 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,18.500 TL
Akhisar - Hürriyet Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,22.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,16.500 TL
Yunusemre - Güzelyurt Mahallesi,Daire | 4+0 | 7. Kat | 220 m²,67.000 TL
Salihli - Yörük Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,20.000 TL
Turgutlu - Yılmazlar Mahallesi,Daire | 1+1 | Yüksek giriş | 61 m²,15.000 TL
Turgutlu - Turan Mahallesi,Daire | 3+1 | Yüksek giriş | 125 m²,20.000 TL
Akhisar - Ulu Camii Mahallesi,Daire | 3+1 | 2. Kat | 175 m²,23.000 TL
Yunusemre - Merkez Efendi Mahallesi,Daire | 3+1 | 3. Kat | 170 m²,29.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,23.000 TL
Akhisar - Hürriyet Mahallesi,Daire | 4+1 | 4. Kat | 200 m²,15.500 TL
Akhisar - Paşa Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,15.000 TL
Akhisar - Hürriyet Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,17.000 TL
Şehzadeler - Nişancıpaşa Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,30.000 TL
Şehzadeler - Adnan Menderes Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,13.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 1. Kat | 69 m²,24.000 TL
Yunusemre - Mutlu Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,20.000 TL
Alaşehir - Sakarya Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,16.000 TL
Turgutlu - Mustafa Kemal Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 120 m²,15.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | Yüksek giriş | 65 m²,15.000 TL
Turgutlu - Selvilitepe Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 120 m²,22.000 TL
Alaşehir - İstasyon Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,18.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 5+1 | 5. Kat | 280 m²,25.000 TL
Şehzadeler - Göktaşlı Mahallesi,Daire | 1+1 | 4. Kat | 75 m²,15.500 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | 5. Kat | 80 m²,17.500 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,24.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,21.000 TL
Akhisar - Ragıp Bey Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,18.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,18.500 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,18.500 TL
Yunusemre - Merkez Efendi Mahallesi,Daire | 4+1 | 5. Kat | 200 m²,27.000 TL
