location,information,sales_price
Ayvalık - Sahil Kent Mahallesi,Daire | 1+1 | Bahçe katı | 70 m²,30.000 TL
Burhaniye - Kocacami Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,25.000 TL30.000 TL
Bandırma - Sunullah Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,21.000 TL
Altıeylül - Yıldız Mahallesi,Daire | 2+1 | Çatı Dubleks | 100 m²,26.500 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,15.000 TL
Altıeylül - Gümüsçesme Mahallesi,Daire | 2+1 | 2. Kat | 112 m²,36.500 TL
Altıeylül - Gümüsçesme Mahallesi,Daire | 2+1 | 4. Kat | 104 m²,34.500 TL
Karesi - Atatürk Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,21.000 TL
Altıeylül - Plevne Mahallesi,Daire | 1+1 | 4. Kat | 44 m²,16.500 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 3+1 | 3. Kat | 115 m²,23.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,20.000 TL
Altıeylül - Gümüsçesme Mahallesi,Daire | 3+1 | 2. Kat | 146 m²,50.000 TL
Karesi - Karesi Mahallesi,Daire | 2+1 | 2. Kat | 73 m²,28.000 TL
Karesi - 2. Oruçgazi Mahallesi,Daire | 2+1 | 4. Kat | 96 m²,20.000 TL
Edremit - Gazicelal Mahallesi,Daire | 3+1 | 1. Kat | 165 m²,25.000 TL
Bandırma - Paşabayır Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,27.000 TL
Edremit - Altınkum Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,19.000 TL
Bandırma - Kayacık Mahallesi,Daire | 2+1 | Kot 3 (-3). Kat | 90 m²,15.000 TL
Ayvalık - Küçükköy Mahallesi,Daire | 3+1 | 2. Kat | 110 m²,27.000 TL30.000 TL
Altıeylül - Yıldız Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,15.500 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,19.000 TL
Burhaniye - Ören Mahallesi,Daire | 2+1 | Bahçe katı | 170 m²,35.000 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,30.000 TL
Bandırma - Çınarlı Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,15.000 TL
Bandırma - Paşakent Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,15.000 TL
Edremit - Altınkum Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,30.000 TL
Edremit - Altınkum Mahallesi,Daire | 2+1 | 3. Kat | 70 m²,20.000 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 1+1 | Bahçe katı | 75 m²,10.000 TL
Karesi - Adnan Menderes Mahallesi,Daire | 3+1 | 5. Kat | 125 m²,15.500 TL
Altıeylül - Kasaplar Mahallesi,Daire | 4+1 | 2. Kat | 165 m²,18.000 TL
Altıeylül - 2. Gündoğan Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,13.500 TL
Altıeylül - Gümüsçesme Mahallesi,Daire | 3+1 | 1. Kat | 139 m²,43.000 TL
Altıeylül - Yıldız Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,12.000 TL
Altıeylül - Dinkçiler Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,15.500 TL
Bandırma - Dere Mahallesi,Daire | 3+1 | 2. Kat | 156 m²,35.000 TL
Bandırma - Çınarlı Mahallesi,Daire | 2+0 | 1. Kat | 70 m²,15.000 TL
Altıeylül - Plevne Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,20.000 TL
Bandırma - Hacı Yusuf Mahallesi,Daire | 2+1 | Kot 2 (-2). Kat | 120 m²,20.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | Yüksek giriş | 48 m²,12.000 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,28.000 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,35.500 TL
Altıeylül - Yıldız Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,26.000 TL
Bandırma - Ayyıldız Mahallesi,Daire | 3+1 | 3. Kat | 110 m²,10.000 TL
Altıeylül - Plevne Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,20.000 TL
Bigadiç - Abacı Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,15.000 TL
Bigadiç - Servi Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,18.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,17.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,14.500 TL
Altıeylül - Dinkçiler Mahallesi,Daire | 2+1 | Yüksek giriş | 70 m²,16.000 TL
Karesi - 1. Sakarya Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,14.000 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 1+1 | Bahçe katı | 55 m²,12.000 TL
Altıeylül - Altı Eylül Mahallesi,Daire | 2+1 | Çatı katı | 110 m²,20.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 42 m²,15.500 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 2+1 | 4. Kat | 65 m²,22.500 TL
Altıeylül - Sütlüce Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 125 m²,16.000 TL
Bandırma - 600 Evler Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,18.000 TL
Karesi - Adnan Menderes Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 112 m²,20.000 TL
Edremit - Gazicelal Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,22.000 TL
Karesi - Maltepe Mahallesi,Daire | 3+1 | 2. Kat | 139 m²,32.000 TL
Bandırma - Bentbaşı Mahallesi,Daire | 2+1 | 2. Kat | 82 m²,13.000 TL
Burhaniye - İskele Mahallesi,Daire | 3+1 | 2. Kat | 115 m²,38.000 TL
Edremit - Altınkum Mahallesi,Daire | 1+1 | 3. Kat | 70 m²,15.000 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,25.000 TL
Ayvalık - Altınova Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,18.000 TL
Karesi - Maltepe Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,13.000 TL
Edremit - Altınkum Mahallesi,Daire | 2+1 | 3. Kat | 70 m²,20.000 TL
Edremit - Altınkum Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,30.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,17.500 TL
Bandırma - 600 Evler Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,25.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 2+0 | 1. Kat | 85 m²,11.500 TL
Burhaniye - Bahçelievler Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,25.000 TL
Altıeylül - Sütlüce Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,13.000 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,18.000 TL
Karesi - 2. Sakarya Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 50 m²,11.000 TL
Karesi - Ali Hikmet Paşa Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 70 m²,10.000 TL
Karesi - Atatürk Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 110 m²,11.000 TL
Altıeylül - Dinkçiler Mahallesi,Daire | 1+1 | Kot 1 (-1). Kat | 45 m²,11.000 TL
Edremit - İkizçay Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,23.000 TL
Ayvalık - Ali Çetinkaya Mahallesi,Daire | 2+1 | Kot 2 (-2). Kat | 90 m²,32.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 2+0 | 4. Kat | 65 m²,15.000 TL
Bandırma - Hacı Yusuf Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,32.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 2+0 | 1. Kat | 85 m²,15.000 TL
Bandırma - Hacı Yusuf Mahallesi,Daire | 2+0 | Yüksek giriş | 75 m²,13.500 TL
Edremit - Turhanbey Mahallesi,Daire | 3+1 | Yüksek giriş | 150 m²,18.500 TL
Bandırma - İhsaniye Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,35.000 TL
Edremit - Kızılkeçili Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,25.000 TL30.000 TL
Bandırma - Ayyıldız Mahallesi,Daire | 1+1 | 2. Kat | 80 m²,16.000 TL
Edremit - Gazicelal Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,22.000 TL
Edremit - Tuzcumurat Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,14.000 TL
Bandırma - Hacı Yusuf Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,25.000 TL
Bandırma - Paşamescit Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,19.000 TL
Karesi - Atatürk Mahallesi,Daire | 3+1 | 2. Kat | 94 m²,15.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 1+1 | 6. Kat | 90 m²,20.000 TL
