location,information,sales_price
Didim - Altınkum Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,28.500 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,12.000 TL
Kuşadası - Türkmen Mahallesi,Daire | 1+1 | Yüksek giriş | 65 m²,20.000 TL
Kuşadası - Değirmendere Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,50.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,11.000 TL
Nazilli - Aydoğdu Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,15.000 TL
Kuşadası - Türkmen Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,35.000 TL
Nazilli - Dallıca Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,16.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,12.500 TL13.500 TL
Efeler - Orta Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,12.000 TL15.000 TL
Kuşadası - İkiçeşmelik Mahallesi,Daire | 3+1 | Kot 2 (-2). Kat | 150 m²,25.000 TL
Efeler - Orta Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,12.000 TL
Nazilli - Cumhuriyet Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,25.000 TL
Efeler - Adnan Menderes Mahallesi,Daire | 3+1 | 3. Kat | 115 m²,22.000 TL
Efeler - Orta Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,22.000 TL
Nazilli - Zafer Mahallesi,Daire | 4+1 | 3. Kat | 165 m²,20.000 TL
Nazilli - Karaçay Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,15.000 TL
Nazilli - Sümer Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,10.000 TL
Didim - Yeni Mahallesi,Daire | 3+1 | 5. Kat | 130 m²,38.000 TL
