location,information,sales_price
Çayırova - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 86 m²,22.000 TL
İzmit - Çayırköy Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 120 m²,26.000 TL
Gölcük - Yeni Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,17.500 TL
İzmit - Körfez Mahallesi,Daire | 3+1 | 6. Kat | 220 m²,25.000 TL
Başiskele - Yeşilyurt Mahallesi,Daire | 4+1 | 3. Kat | 180 m²,32.500 TL
İzmit - Yenidoğan Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,25.000 TL27.000 TL
İzmit - Orhan Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,15.000 TL
Gebze - Gaziler Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,20.000 TL22.000 TL
Çayırova - Akse Mahallesi,Daire | 2+1 | 3. Kat | 128 m²,40.000 TL
Gebze - Ulus Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 70 m²,13.500 TL
Derince - Yenikent Mahallesi,Daire | 3+1 | 5. Kat | 130 m²,25.000 TL
Karamürsel - Ereğli Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,21.000 TL
Karamürsel - Ereğli Mahallesi,Daire | 3+1 | Yüksek giriş | 145 m²,20.000 TL
Çayırova - Emek Mahallesi,Daire | 3+1 | Yüksek giriş | 150 m²,30.000 TL
Gebze - Cumhuriyet Mahallesi,Daire | 5+1 | 3. Kat | 175 m²,22.000 TL
Çayırova - Atatürk Mahallesi,Daire | 2+1 | 5. Kat | 90 m²,20.000 TL
Çayırova - Akse Mahallesi,Daire | 3+1 | 3. Kat | 105 m²,28.000 TL
