location,information,sales_price
Bodrum - Turgutreis Mahallesi,Daire | 2+1 | Bahçe katı | 80 m²,40.000 TL
Menteşe - Şeyh Mahallesi,Daire | 3+1 | Kot 2 (-2). Kat | 120 m²,35.000 TL
Marmaris - Armutalan Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,60.000 TL
Marmaris - Kemeraltı Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,60.000 TL
Bodrum - Dirmil Mahallesi,Daire | 2+1 | Çatı katı | 64 m²,32.500 TL
Menteşe - Akçaova Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,21.000 TL
Fethiye - Tuzla Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,32.500 TL35.000 TL
Milas - Ören Mahallesi,Daire | 2+1 | Bahçe katı | 95 m²,60.000 TL
Milas - Burgaz Mahallesi,Daire | 5+1 | Yüksek giriş | 160 m²,25.000 TL
Marmaris - İçmeler Mahallesi,Daire | 2+1 | Bahçe katı | 130 m²,30.000 TL
Bodrum - Dirmil Mahallesi,Daire | 1+1 | 3. Kat | 80 m²,100.000 TL150.000 TL
Menteşe - Kötekli Mahallesi,Daire | 2+1 | 2. Kat | 60 m²,20.000 TL
Ortaca - Cumhuriyet Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,22.000 TL
Bodrum - Torba Mahallesi,Daire | 3+1 | Bahçe katı | 120 m²,175.000 TL
Marmaris - Beldibi Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 55 m²,35.000 TL
Fethiye - Ölüdeniz Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 65 m²,24.000 TL
Bodrum - Yokuşbaşı Mahallesi,Daire | 3+1 | 1. Kat | 200 m²,130.000 TL
Marmaris - İçmeler Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 105 m²,35.000 TL
Marmaris - Söğüt Mahallesi,Daire | 4+1 | Yüksek giriş | 135 m²,35.000 TL
Menteşe - Bayır Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,24.000 TL
Bodrum - Yokuşbaşı Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,55.000 TL60.000 TL
Bodrum - Konacık Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,35.000 TL
Bodrum - Eskiçeşme Mahallesi,Daire | 2+1 | Bahçe katı | 85 m²,40.000 TL
Bodrum - Turgutreis Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,50.000 TL
Fethiye - Patlangıç Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,30.000 TL
Fethiye - Cami Mahallesi,Daire | 2+1 | Müstakil | 100 m²,30.000 TL
Fethiye - Taşyaka Mahallesi,Daire | 3+1 | 2. Kat | 175 m²,50.000 TL
Bodrum - Dirmil Mahallesi,Daire | 2+1 | Bahçe katı | 110 m²,150.000 TL200.000 TL
Bodrum - Dirmil Mahallesi,Daire | 1+1 | 3. Kat | 800 m²,150.000 TL
Fethiye - Çatalarık Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,25.000 TL
Bodrum - Yahşi Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 85 m²,60.000 TL
Marmaris - Çıldır Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,25.000 TL28.000 TL
Bodrum - Gümbet Mahallesi,Daire | 1+1 | Kot 1 (-1). Kat | 36 m²,35.000 TL
Milas - Hacıabti Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 125 m²,23.000 TL
Bodrum - Eskiçeşme Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 80 m²,29.000 TL
Marmaris - Hatipirimi Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,58.000 TL
Fethiye - Karakeçililer Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,32.000 TL
Bodrum - Bitez Mahallesi,Daire | 1+1 | Bahçe katı | 45 m²,55.000 TL
Fethiye - Patlangıç Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,28.000 TL30.000 TL
Datça - Karaköy Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,35.000 TL
Bodrum - Bitez Mahallesi,Daire | 2+2 | 2. Kat | 85 m²,40.000 TL
Bodrum - Kumbahçe Mahallesi,Daire | Stüdyo | Düz Giriş (Zemin) | 40 m²,30.000 TL
