location,information,sales_price
İlkadım - Fevzi Çakmak Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,23.500 TL
İlkadım - Kışla Mahallesi,Daire | 3+1 | 9. Kat | 140 m²,20.000 TL
İlkadım - Kılıçdede Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,15.000 TL
İlkadım - Kalkancı Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,20.500 TL22.000 TL
İlkadım - Çiftlik Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,19.500 TL
İlkadım - Rasathane Mahallesi,Daire | 3+1 | 1. Kat | 145 m²,20.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,17.700 TL
İlkadım - Kadifekale Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,13.500 TL
Atakum - Denizevleri Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,20.000 TL
İlkadım - Adalet Mahallesi,Daire | 3+1 | 10. Kat | 125 m²,16.000 TL
Atakum - Alanlı Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,40.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,12.499 TL
İlkadım - Yenidoğan Mahallesi,Daire | 2+1 | Yüksek giriş | 120 m²,13.000 TL
İlkadım - Kalkancı Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,22.000 TL
İlkadım - Cedit Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,12.000 TL
İlkadım - Tepecik Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,22.000 TL
İlkadım - İstasyon Mahallesi,Daire | 2+0 | Düz Giriş (Zemin) | 50 m²,10.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 2. Kat | 80 m²,14.500 TL
Atakum - Körfez Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,15.250 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,16.750 TL
İlkadım - Çiftlik Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,10.000 TL
Atakum - Yeşildere Mahallesi,Daire | 2+0 | Düz Giriş (Zemin) | 90 m²,17.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,20.000 TL
