location,information,sales_price
Yenişehir - Çiftlikköy Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,15.000 TL
Tarsus - Şehitishak Mahallesi,Daire | 3+1 | 4. Kat | 160 m²,14.000 TL
Tarsus - Akşemsettin Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,13.500 TL
Tarsus - Fevzi Çakmak Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,22.000 TL
Tarsus - Bağlar Mahallesi,Daire | 2+1 | 2. Kat | 125 m²,16.000 TL
Mezitli - Merkez Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,35.000 TL
Erdemli - Alata Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,17.000 TL
Mezitli - Akdeniz Mahallesi,Daire | 1+1 | 8. Kat | 60 m²,14.500 TL
Mezitli - Viranşehir Mahallesi,Daire | 3+1 | 11. Kat | 165 m²,21.000 TL
Mezitli - Kuyuluk Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,21.000 TL
Mezitli - Tece Mahallesi,Daire | 1+1 | 8. Kat | 50 m²,12.500 TL
Silifke - Sayağzı Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,10.000 TL
Silifke - Sayağzı Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²,10.000 TL
Silifke - Sarıcalar Mahallesi,Daire | 3+1 | Bahçe katı | 135 m²,11.000 TL
Silifke - Göksu Mahallesi,Daire | 3+1 | 5. Kat | 160 m²,17.000 TL
Tarsus - Şehitishak Mahallesi,Daire | 4+1 | Yüksek giriş | 170 m²,220.000 TL
Silifke - Göksu Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,18.000 TL
Silifke - Taşucu Mahallesi,Daire | 2+1 | 6. Kat | 110 m²,18.000 TL
Silifke - Gazi Mahallesi,Daire | 2+1 | 7. Kat | 110 m²,20.000 TL
Silifke - Göksu Mahallesi,Daire | 4+1 | 3. Kat | 190 m²,27.000 TL
Yenişehir - Eğriçam Mahallesi,Daire | 3+1 | 9. Kat | 190 m²,310.000 TL
Yenişehir - Çiftlikköy Mahallesi,Daire | 1+1 | 11. Kat | 90 m²,27.000 TL
Mezitli - Deniz Mahallesi,Daire | 1+1 | 10. Kat | 85 m²,18.000 TL
Mezitli - Merkez Mahallesi,Daire | 3.5+1 | 3. Kat | 190 m²,33.000 TL
Mezitli - Akdeniz Mahallesi,Daire | 4+1 | 8. Kat | 220 m²,39.000 TL
