location,information,sales_price
Sapanca - Camicedit Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,25.000 TL
Geyve - Orhaniye Mahallesi,Daire | 3+1 | 3. Kat | 200 m²,18.000 TL
Karasu - Aziziye Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,25.000 TL
Karasu - Aziziye Mahallesi,Daire | 2+1 | Bahçe katı | 77 m²,18.000 TL
Hendek - Yeni Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,20.000 TL
Serdivan - Arabacıalanı Mahallesi,Daire | 2+1 | 3. Kat | 60 m²,17.000 TL
Serdivan - Kemalpaşa Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,18.000 TL
Serdivan - Arabacıalanı Mahallesi,Daire | 4+1 | 2. Kat | 190 m²,40.000 TL
Adapazarı - Şeker Mahallesi,Daire | 1+1 | Kot 2 (-2). Kat | 45 m²,17.000 TL
Adapazarı - Şeker Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,17.000 TL
Adapazarı - Semerciler Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,20.000 TL
Ferizli - İstiklal Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,20.000 TL
Adapazarı - Korucuk Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,10.500 TL
Adapazarı - Korucuk Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,14.000 TL
Serdivan - Kemalpaşa Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 65 m²,16.000 TL
Serdivan - Kemalpaşa Mahallesi,Daire | Stüdyo | 2. Kat | 60 m²,13.500 TL
Serdivan - İstiklal Mahallesi,Daire | 2+1 | Müstakil | 100 m²,20.000 TL
Hendek - Yeni Mahallesi,Daire | 4+1 | 1. Kat | 145 m²,20.000 TL
Adapazarı - Tekeler Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 135 m²,33.000 TL
Kocaali - Caferiye Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,15.000 TL
Akyazı - Ömercikler Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 65 m²,9.000 TL
Adapazarı - İstiklal Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,14.000 TL15.000 TL
Erenler - Erenler Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,28.000 TL
Hendek - Yeni Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,20.000 TL
Karasu - Yalı Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,13.000 TL
Kocaali - Merkez Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,15.000 TL
Adapazarı - Semerciler Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,38.000 TL
Akyazı - Konuralp Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,20.000 TL
Akyazı - İnönü Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,11.000 TL
Akyazı - İnönü Mahallesi,Daire | 2+1 | 3. Kat | 160 m²,15.000 TL
Serdivan - Arabacıalanı Mahallesi,Daire | 3+1 | 2. Kat | 165 m²,39.000 TL
Serdivan - Otuziki Evler Mahallesi,Daire | 3+1 | 2. Kat | 105 m²,22.000 TL
Serdivan - Kemalpaşa Mahallesi,Daire | 2+1 | 3. Kat | 65 m²,25.000 TL
Adapazarı - Şirinevler Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,14.000 TL
Serdivan - Arabacıalanı Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,17.000 TL
Karasu - Yalı Mahallesi,Daire | 2+1 | Bahçe katı | 75 m²,15.000 TL
Hendek - Kemaliye Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,25.000 TL
Serdivan - Kemalpaşa Mahallesi,Daire | 2+1 | 2. Kat | 55 m²,18.000 TL
Erenler - Erenler Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,25.000 TL
