location,information,sales_price
Merkezefendi - Akkonak Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,20.000 TL
Merkezefendi - Akkonak Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,20.000 TL
Acıpayam - Yukarı Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,12.000 TL13.000 TL
Merkezefendi - Sırakapılar Mahallesi,Daire | 2+1 | 3. Kat | 70 m²,13.500 TL
Pamukkale - Kuşpınar Mahallesi,Daire | 1+1 | 2. Kat | 52 m²,15.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,18.000 TL
Merkezefendi - Kayalar Mahallesi,Daire | 3+1 | 5. Kat | 161 m²,42.000 TL
Merkezefendi - Kayalar Mahallesi,Daire | 2.5+1 | 11. Kat | 125 m²,32.000 TL
Merkezefendi - Kayalar Mahallesi,Daire | 1+1 | 22. Kat | 79 m²,22.000 TL
Merkezefendi - Kayalar Mahallesi,Daire | 2.5+1 | 25. Kat | 150 m²,38.400 TL
Merkezefendi - Kayalar Mahallesi,Daire | 3+1 | 5. Kat | 161 m²,42.000 TL
Merkezefendi - Kayalar Mahallesi,Daire | 4+1 | 2. Kat | 173 m²,48.000 TL
Merkezefendi - Karaman Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,12.500 TL
Merkezefendi - Kayalar Mahallesi,Daire | 2.5+1 | 7. Kat | 125 m²,29.000 TL
Merkezefendi - Selçuk Bey Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,31.000 TL
Merkezefendi - Selçuk Bey Mahallesi,Daire | 3+1 | 3. Kat | 175 m²,28.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 3+1 | 1. Kat | 180 m²,45.000 TL
Merkezefendi - Adalet Mahallesi,Daire | 2+1 | 3. Kat | 125 m²,20.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | Bahçe katı | 55 m²,9.000 TL
Pamukkale - İncilipınar Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,10.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 55 m²,10.000 TL
Pamukkale - Zeytinköy Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,10.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,14.000 TL
Merkezefendi - Karahasanlı Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²,17.000 TL
Merkezefendi - Çakmak Mahallesi,Daire | 2+1 | 4. Kat | 135 m²,20.000 TL
Pamukkale - 15 Mayıs Mahallesi,Daire | 1+1 | Yüksek giriş | 45 m²,9.000 TL
Pamukkale - İncilipınar Mahallesi,Daire | Stüdyo | 2. Kat | 28 m²,8.500 TL
Merkezefendi - Karaman Mahallesi,Daire | 3+1 | 3. Kat | 180 m²,18.000 TL
Merkezefendi - Karahasanlı Mahallesi,Daire | 2+1 | 1. Kat | 65 m²,20.000 TL
Pamukkale - Dokuzkavaklar Mahallesi,Daire | 2+1 | 1. Kat | 115 m²,16.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,16.500 TL
Pamukkale - İncilipınar Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,13.000 TL14.500 TL
Pamukkale - Topraklık Mahallesi,Daire | 2+0 | 4. Kat | 80 m²,15.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 3+1 | 1. Kat | 155 m²,25.000 TL
Pamukkale - Kayıhan Mahallesi,Daire | 2+1 | Bahçe katı | 120 m²,9.000 TL
Pamukkale - İstiklal Mahallesi,Daire | 1+1 | Bahçe katı | 45 m²,9.000 TL
Pamukkale - Kuşpınar Mahallesi,Daire | 1+1 | Bodrum Kat | 45 m²,9.000 TL
Pamukkale - Kuşpınar Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,12.000 TL
