location,information,sales_price
Balçova - Fevzi Çakmak Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,25.000 TL
Karabağlar - Doğanay Mahallesi,Daire | 3+1 | 6. Kat | 150 m²,40.000 TL
Çiğli - Küçük Çiğli Mahallesi,Daire | 2+1 | 2. Kat | 78 m²,19.000 TL
Çiğli - Maltepe Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,25.000 TL
Karşıyaka - Mustafa Kemal Mahallesi,Daire | 3+1 | 6. Kat | 158 m²,42.000 TL
Urla - Sıra Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,27.500 TL
Buca - Dumlupınar Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,20.000 TL
Buca - Hürriyet Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,26.000 TL
Konak - Mithatpaşa Mahallesi,Daire | 2+1 | 1. Kat | 93 m²,32.000 TL
Bornova - Atatürk Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,29.000 TL
Tire - Cumhuriyet Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,17.500 TL
Tire - Hürriyet Mahallesi,Daire | 3+1 | 3. Kat | 145 m²,28.000 TL
Aliağa - Kurtuluş Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,25.000 TL
Aliağa - Atatürk Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,27.000 TL
Foça - Kazım Dirik Mahallesi,Daire | 2+1 | 1. Kat | 70 m²,17.000 TL
Aliağa - Atatürk Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,37.500 TL
Aliağa - Kazım Dirik Mahallesi,Daire | 3+1 | 3. Kat | 110 m²,19.000 TL
Buca - Atatürk Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 60 m²,15.500 TL
Buca - Atatürk Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,25.000 TL
Gaziemir - Dokuz Eylül Mahallesi,Daire | 3+1 | 1. Kat | 180 m²,70.000 TL
Konak - Halkapınar Mahallesi,Daire | 1+1 | 5. Kat | 60 m²,50.000 TL
Konak - Zafertepe Mahallesi,Daire | 2+1 | Yüksek giriş | 135 m²,24.500 TL
Torbalı - Muratbey Mahallesi,Daire | 2+1 | Bahçe katı | 120 m²,20.000 TL
Buca - Atatürk Mahallesi,Daire | 2+0 | 2. Kat | 60 m²,22.000 TL
Buca - Yıldız Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,15.000 TL
Torbalı - Cumhuriyet Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,24.000 TL
Torbalı - Cumhuriyet Mahallesi,Daire | 2+1 | Bahçe katı | 110 m²,25.000 TL
Bayraklı - R. Şevket İnce Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 70 m²,16.000 TL
Bayraklı - Çiçek Mahallesi,Daire | 2+1 | 2. Kat | 83 m²,17.500 TL
Bayraklı - Çiçek Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,20.000 TL
Buca - Aydoğdu Mahallesi,Daire | 3+1 | 4. Kat | 178 m²,52.000 TL
Buca - Seyhan Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 87 m²,21.000 TL
Buca - Akıncılar Mahallesi,Daire | 2+1 | Yüksek giriş | 97 m²,26.500 TL
Buca - Akıncılar Mahallesi,Daire | 2+1 | 4. Kat | 70 m²,30.000 TL
Buca - Gaziler Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,35.000 TL
Çiğli - Küçük Çiğli Mahallesi,Daire | 3+1 | Kot 1 (-1). Kat | 135 m²,20.000 TL
Çiğli - Ataşehir Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,90.000 TL
Buca - Buca Koop. Mahallesi,Daire | 2+1 | Bahçe katı | 90 m²,15.000 TL
Buca - Buca Koop. Mahallesi,Daire | 1+1 | 7. Kat | 45 m²,25.000 TL
Buca - Yenigün Mahallesi,Daire | 1+1 | 2. Kat | 80 m²,17.500 TL
