location,information,sales_price
Karaköprü - Doğukent Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 80 m²,9.000 TL
Haliliye - Ertuğrul Gazi Mahallesi,Daire | 4+1 | 4. Kat | 220 m²,16.500 TL17.500 TL
Karaköprü - Mehmetçik Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,17.000 TL
Haliliye - Şair Nabi Mahallesi,Daire | 1+1 | 1. Kat | 80 m²,13.000 TL
Haliliye - Şair Nabi Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,10.000 TL11.000 TL
Eyyübiye - Batıkent Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 89 m²,7.500 TL
Karaköprü - Akpıyar Mahallesi,Daire | 1+1 | 3. Kat | 100 m²,15.500 TL
Haliliye - Selahaddin Eyyübi Mahallesi,Daire | 3+1 | 5. Kat | 185 m²,10.000 TL
Haliliye - Atatürk Mahallesi,Daire | 1+1 | 1. Kat | 110 m²,16.000 TL
Haliliye - Karsıyaka Mahallesi,Daire | 1+1 | 5. Kat | 70 m²,12.000 TL
Haliliye - Sırrın Mahallesi,Daire | 1+1 | 3. Kat | 90 m²,12.000 TL
Haliliye - Sırrın Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,16.000 TL
Karaköprü - Şenevler Mahallesi,Daire | 4+1 | 6. Kat | 180 m²,16.000 TL18.000 TL
Haliliye - Yenişehir Mahallesi,Daire | 3+1 | 2. Kat | 230 m²,16.000 TL18.000 TL
Karaköprü - Batıkent Mahallesi,Daire | 2+0 | 1. Kat | 60 m²,12.000 TL
Karaköprü - Batıkent Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 60 m²,11.000 TL
Haliliye - Sırrın Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,13.750 TL
Karaköprü - Akpıyar Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,12.000 TL
Karaköprü - Akbayır Mahallesi,Daire | 2+1 | 5. Kat | 120 m²,22.500 TL
Karaköprü - Batıkent Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,12.000 TL
Haliliye - Karsıyaka Mahallesi,Daire | 1+1 | 7. Kat | 50 m²,16.000 TL
Karaköprü - Karşıyaka Mahallesi,Daire | 3+1 | Bahçe katı | 160 m²,16.000 TL
Haliliye - Selahaddin Eyyübi Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,9.000 TL
Haliliye - Karsıyaka Mahallesi,Daire | 1+1 | 1. Kat | 57 m²,15.000 TL
Haliliye - Şehitlik Mahallesi,Daire | 2+1 | Yüksek giriş | 93 m²,8.500 TL
Eyyübiye - Batıkent Mahallesi,Daire | 3+1 | 4. Kat | 147 m²,15.000 TL
Haliliye - Ertuğrul Gazi Mahallesi,Daire | 4+1 | 5. Kat | 175 m²,9.250 TL
Haliliye - Ulubatlı Mahallesi,Daire | 2+1 | 3. Kat | 170 m²,14.000 TL15.000 TL
Haliliye - Bağlarbaşı Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,7.750 TL
Karaköprü - Güllübağ Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,18.500 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2+1 | 6. Kat | 86 m²,12.000 TL
Haliliye - Şair Nabi Mahallesi,Daire | 1+1 | 5. Kat | 65 m²,14.000 TL
