location,information,sales_price
Kepez - Çankaya Mahallesi,Daire | 3+1 | 4. Kat | 175 m²,60.000 TL
Kepez - Teomanpaşa Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,20.500 TL
Döşemealtı - Bahçeyaka Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,20.000 TL
Alanya - Oba Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,18.500 TL
Konyaaltı - Liman Mahallesi,Daire | 3+1 | 9. Kat | 145 m²,35.000 TL
Konyaaltı - Sarısu Mahallesi,Daire | 1+1 | 5. Kat | 70 m²,32.000 TL
Muratpaşa - Çağlayan Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,60.000 TL
Döşemealtı - Çıplaklı Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,25.000 TL
Manavgat - Ilıca Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,33.000 TL
Manavgat - Ilıca Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,27.500 TL
Konyaaltı - Altınkum Mahallesi,Daire | 3+2 | 4. Kat | 160 m²,42.000 TL
Manavgat - Side Mahallesi,Daire | 1+1 | Çatı katı | 65 m²,23.000 TL
Kepez - Yeni Doğan Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,28.000 TL
Muratpaşa - Bayındır Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,25.000 TL
Muratpaşa - Konuksever Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,19.000 TL
Alanya - Oba Mahallesi,Daire | 3+1 | 2. Kat | 170 m²,30.000 TL
Alanya - Kestel Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,37.000 TL
Alanya - Cikcilli Mahallesi,Daire | 2+1 | Bahçe katı | 140 m²,30.000 TL
Alanya - Oba Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,21.000 TL
Muratpaşa - Güzeloba Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,22.000 TL
Konyaaltı - Hurma Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,25.000 TL
Aksu - Altıntaş Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,17.500 TL
Alanya - Cumhuriyet Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,20.000 TL
Alanya - Mahmutlar Mahallesi,Daire | 2+1 | 12. Kat | 120 m²,25.000 TL
Aksu - Cumhuriyet Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,20.000 TL
Kepez - Kepez Mahallesi,Daire | 1+1 | Bahçe katı | 47 m²,14.000 TL
Muratpaşa - Güzeloba Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,61.000 TL
Kepez - Kepez Mahallesi,Daire | 1+1 | 8. Kat | 47 m²,14.000 TL
Muratpaşa - Çağlayan Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,40.000 TL
Kepez - Kepez Mahallesi,Daire | 1+1 | 11. Kat | 61 m²,19.000 TL
Aksu - Altıntaş Mahallesi,Daire | 1+1 | 10. Kat | 54 m²,18.000 TL
Muratpaşa - Yeşilbahçe Mahallesi,Daire | 3+1 | 1. Kat | 190 m²,50.000 TL
Aksu - Altıntaş Mahallesi,Daire | 2+1 | 3. Kat | 66 m²,43.000 TL
Muratpaşa - Zerdalilik Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 220 m²,70.000 TL
Kepez - Habibler Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 85 m²,18.000 TL
Aksu - Altıntaş Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 75 m²,26.000 TL
Aksu - Altıntaş Mahallesi,Daire | 2+1 | 5. Kat | 85 m²,27.500 TL
Muratpaşa - Güzeloba Mahallesi,Daire | 2+1 | Yüksek giriş | 92 m²,30.000 TL
