location,information,sales_price
Sarıçam - İstiklal Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,100.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 9. Kat | 70 m²,14.500 TL
Sarıçam - Göztepe Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,92.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 1. Kat | 70 m²,13.500 TL
Sarıçam - İstiklal Mahallesi,Daire | 2.5+1 | 5. Kat | 120 m²,16.500 TL
Çukurova - Yüzüncüyıl Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 75 m²,17.000 TL
Seyhan - Yeşilyurt Mahallesi,Daire | Stüdyo | 2. Kat | 35 m²,9.000 TL
Çukurova - Mahfesığmaz Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,140.000 TL
Çukurova - Güzelyalı Mahallesi,Daire | 3+1 | 3. Kat | 180 m²,24.000 TL
Çukurova - Yurt Mahallesi,Daire | 3+1 | 4. Kat | 180 m²,280.000 TL
Seyhan - 2000 Evler Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,225.000 TL
Seyhan - Kuruköprü Mahallesi,Daire | 1 Oda | 5. Kat | 45 m²,9.000 TL
Çukurova - Mahfesığmaz Mahallesi,Daire | Stüdyo | 2. Kat | 55 m²,9.000 TL
Sarıçam - Osmangazi Mahallesi,Daire | 1+1 | 9. Kat | 60 m²,8.750 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 9. Kat | 60 m²,8.500 TL
Sarıçam - Gültepe Mahallesi,Daire | 3+1 | 12. Kat | 150 m²,19.000 TL
Sarıçam - Buruk Cumhuriyet Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,12.500 TL
Seyhan - Yenibaraj Mahallesi,Daire | 3+1 | 7. Kat | 135 m²,26.000 TL
Seyhan - Yeni Mahallesi,Daire | 2+1 | 2. Kat | 135 m²,205.000 TL
Seyhan - Kurtuluş Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,23.000 TL
Seyhan - Sümer Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,10.000 TL
Çukurova - Huzurevleri Mahallesi,Daire | 4+1 | 7. Kat | 220 m²,45.000 TL
Çukurova - Yüzüncüyıl Mahallesi,Daire | 3+1 | 10. Kat | 125 m²,21.500 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 6. Kat | 40 m²,12.500 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 14. Kat | 50 m²,14.500 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 2+1 | Yüksek giriş | 80 m²,8.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 7. Kat | 60 m²,9.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 2+1 | 10. Kat | 90 m²,17.000 TL
Seyhan - İsmetpaşa Mahallesi,Daire | 3+1 | 6. Kat | 165 m²,27.000 TL
Seyhan - Yeşiloba Mahallesi,Daire | 3+1 | 8. Kat | 165 m²,22.000 TL
Seyhan - İsmetpaşa Mahallesi,Daire | 2+1 | 9. Kat | 120 m²,235.000 TL
Çukurova - Beyazevler Mahallesi,Daire | Stüdyo | 2. Kat | 45 m²,7.500 TL
Çukurova - Beyazevler Mahallesi,Daire | 1 Oda | 2. Kat | 45 m²,7.500 TL
Çukurova - Kurttepe Mahallesi,Daire | 3+1 | 6. Kat | 165 m²,27.000 TL
Yumurtalık - Akdeniz Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,13.000 TL
Seyhan - Sümer Mahallesi,Daire | 1+1 | 4. Kat | 70 m²,13.000 TL
Çukurova - Şambayadı Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,15.500 TL
Seyhan - Ziyapaşa Mahallesi,Daire | Stüdyo | 2. Kat | 40 m²,8.000 TL
Seyhan - Yenibaraj Mahallesi,Daire | Stüdyo | 2. Kat | 45 m²,9.000 TL
Pozantı - İstiklal Mahallesi,Daire | 3+1 | 4. Kat | 170 m²,72.000 TL
Sarıçam - Mehmet Akif Ersoy Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,16.500 TL
Seyhan - Pınar Mahallesi,Daire | 3+1 | 9. Kat | 200 m²,30.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | 6. Kat | 40 m²,12.500 TL13.500 TL
Seyhan - Yenibaraj Mahallesi,Daire | 1+1 | 2. Kat | 75 m²,19.000 TL
Çukurova - Huzurevleri Mahallesi,Daire | 2+1 | 7. Kat | 150 m²,20.000 TL21.500 TL
Seyhan - Mithatpaşa Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,130.000 TL
